policy_id,age,customer_months,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud
820477,60,460,2009-06-02,B,250/500,1000,1265.16,0,497473,MALE,High School,adm-clerical,paintball,own-child,46505,0,2015-03-23,Parked Car,?,Minor Damage,None,S4,Northbend,5,1,YES,1,3,NO,4812,901,470,3309,Dodge,Neon,2007,1
210761,45,232,1994-10-22,A,250/500,2000,1132.01,0,449551,MALE,College,other-service,exercise,wife,26728,0,2015-01-24,Single Vehicle Collision,Rear Collision,Major Damage,Fire,S1,Northbend,22,1,?,1,1,YES,55012,5445,10747,40331,Jeep,Grand Cherokee,2002,1
682880,41,57,1996-07-02,B,250/500,500,1346.08,0,451499,FEMALE,Associate,adm-clerical,chess,not-in-family,0,0,2015-02-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,S1,Columbus,13,1,?,1,2,YES,61612,11347,11124,38582,BMW,X5,1998,0
363856,40,216,1996-12-13,C,100/300,500,1319.38,0,623381,MALE,PhD,transport-moving,polo,husband,65291,0,2014-12-17,Single Vehicle Collision,Side Collision,Minor Damage,Fire,S4,Northbrook,22,1,?,1,1,NO,38556,8022,4040,24847,Chevrolet,Silverado,1995,0
148740,36,141,2008-03-07,A,100/300,1000,1475.15,0,451716,FEMALE,High School,craft-repair,chess,wife,0,-41698,2014-12-30,Parked Car,?,Trivial Damage,None,S2,Columbus,5,1,?,0,2,YES,2931,516,268,2119,Chevrolet,Tahoe,1997,1
823544,37,151,1993-11-04,C,500/1000,2000,1278.28,6000000,445319,FEMALE,Associate,sales,reading,other-relative,24001,-15163,2015-03-06,Parked Car,?,Minor Damage,None,S5,Arlington,7,1,NO,0,0,?,7244,703,1482,5361,Dodge,Neon,2014,0
324631,37,219,1999-11-07,B,100/300,1000,882.98,7000000,457711,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68874,-21876,2015-02-11,Single Vehicle Collision,Front Collision,Major Damage,Fire,S2,Riverwood,0,1,?,1,3,NO,70564,14647,14721,45454,Accura,TL,2002,1
491656,33,164,2013-12-06,A,100/300,1000,1770.8,3000000,439277,MALE,JD,prof-specialty,movies,unmarried,0,0,2015-03-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,S3,Springfield,4,3,NO,0,1,NO,34834,3803,7039,24639,Volkswagen,Jetta,1998,0
382035,35,150,2005-08-22,C,250/500,500,670.84,0,593129,FEMALE,PhD,craft-repair,skydiving,wife,0,-60960,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Fire,S3,Columbus,3,1,?,0,1,NO,104514,15626,16854,69738,Dodge,RAM,1999,0
308676,43,283,1990-03-16,B,100/300,500,1441.05,0,623155,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,S2,Northbend,21,3,NO,1,0,NO,96531,16614,8366,68296,Mercedes,ML350,2005,0
1020232,59,428,1992-11-25,C,100/300,2000,1362.22,0,469873,MALE,College,adm-clerical,sleeping,unmarried,42785,-64640,2015-02-21,Multi-vehicle Collision,Front Collision,Total Loss,Police,S2,Northbrook,10,3,NO,0,0,NO,64307,5991,12082,45102,Jeep,Wrangler,2012,0
269470,31,158,2013-11-13,A,100/300,2000,1261.03,0,438284,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-39178,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,S2,Hillsdale,0,1,?,0,0,?,34545,3598,7028,24451,Suburu,Legacy,2012,0
112082,47,370,2005-12-26,B,250/500,500,1187.55,4000000,611678,MALE,Associate,sales,board-games,wife,51039,-73660,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,S1,Columbus,17,3,?,1,1,NO,59114,6282,6282,43314,Mercedes,E400,1995,0
474980,32,27,1997-01-30,B,100/300,500,1450.2,0,585487,FEMALE,PhD,other-service,golf,own-child,0,0,2015-02-13,Single Vehicle Collision,Front Collision,Total Loss,Police,S3,Arlington,21,1,NO,1,1,YES,27672,2822,2653,23223,Toyota,Camry,2012,0
983471,30,66,2003-07-14,C,500/1000,500,500.17,0,616825,FEMALE,College,adm-clerical,paintball,wife,21543,-59158,2015-01-21,Multi-vehicle Collision,Front Collision,Major Damage,Fire,S2,Arlington,2,3,?,0,2,YES,66215,11896,11657,39842,Volkswagen,Passat,2015,1
567730,28,124,1991-12-20,A,500/1000,1000,1029.23,0,474861,FEMALE,JD,farming-fishing,movies,other-relative,0,-40194,2014-12-28,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,S2,Hillsdale,21,2,YES,2,1,NO,81704,12870,13027,57800,Ford,Fusion,2010,0
438117,32,186,2004-05-18,B,250/500,1000,1251.92,0,472643,MALE,JD,other-service,hiking,not-in-family,0,0,2015-01-25,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,S3,Northbend,11,1,?,2,1,YES,59270,11183,5785,39595,Nissan,Pathfinder,1997,0
941269,31,158,2007-08-01,C,100/300,2000,1424.72,0,636000,FEMALE,College,craft-repair,skydiving,husband,67124,-36051,2015-03-13,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,S1,Columbus,23,3,YES,2,0,NO,43354,8070,4063,32444,Mercedes,C300,2004,1
482180,29,109,2007-06-14,A,250/500,1000,1201.4,0,430976,FEMALE,Masters,protective-serv,dancing,husband,0,-34144,2015-02-02,Vehicle Theft,?,Minor Damage,None,S3,Arlington,3,1,NO,0,3,YES,4736,538,518,3672,Chevrolet,Malibu,2013,0
515967,56,389,1992-09-18,C,100/300,1000,1360.92,0,449134,MALE,High School,protective-serv,exercise,other-relative,0,-22803,2015-01-20,Multi-vehicle Collision,Front Collision,Major Damage,Other,S5,Columbus,22,3,YES,2,1,NO,50930,12228,5635,34339,Saab,93,1995,0
530500,62,470,1996-12-11,A,250/500,1000,742.43,0,612872,FEMALE,Associate,sales,kayaking,husband,0,0,2015-03-15,Parked Car,?,Minor Damage,Police,S3,Columbus,6,1,?,0,3,?,5044,470,898,3554,Mercedes,E400,2007,0
924083,33,99,1997-08-07,C,250/500,500,1101.28,0,419482,MALE,High School,exec-managerial,kayaking,own-child,30592,-45848,2015-01-29,Multi-vehicle Collision,Rear Collision,Total Loss,Police,S1,Riverwood,23,3,YES,1,3,YES,65222,9995,10239,42865,Volkswagen,Jetta,2006,1
666787,58,389,2000-01-20,C,500/1000,1000,1078.11,4000000,449493,MALE,MD,priv-house-serv,exercise,other-relative,43985,0,2015-01-22,Multi-vehicle Collision,Front Collision,Total Loss,Other,S1,Northbend,21,3,?,2,3,?,61132,9850,10700,41205,Saab,93,2008,0
614347,44,295,1999-08-26,A,500/1000,2000,1156.3,0,461259,FEMALE,Associate,adm-clerical,hiking,own-child,75117,-39112,2015-01-29,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,S4,Northbend,15,1,NO,1,0,YES,52272,6012,6264,42965,Toyota,Highlander,1996,0
138983,43,264,2009-07-28,B,100/300,500,963.86,0,444257,FEMALE,Masters,farming-fishing,base-jumping,not-in-family,0,-39339,2015-02-08,Vehicle Theft,?,Trivial Damage,Police,S2,Riverwood,15,1,NO,1,3,NO,7987,1310,660,5731,Audi,A5,2008,0
856653,37,221,2010-02-11,C,250/500,500,1457.72,0,469099,FEMALE,PhD,craft-repair,camping,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,S2,Arlington,10,1,?,0,1,NO,72184,6857,14663,51865,Volkswagen,Passat,2008,0
633593,43,333,2010-03-21,C,100/300,2000,854.79,6000000,592869,MALE,MD,tech-support,board-games,wife,0,-40226,2015-01-10,Single Vehicle Collision,Rear Collision,Minor Damage,Other,S6,Hillsdale,13,1,?,1,0,YES,82863,15776,15139,49383,Jeep,Wrangler,2011,0
133169,32,155,2002-03-11,C,100/300,1000,954.39,6000000,451151,MALE,JD,priv-house-serv,hiking,not-in-family,28164,0,2014-12-18,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,S2,Hillsdale,14,3,YES,2,0,NO,65316,5804,11271,46712,Suburu,Forrestor,1999,0
425311,38,61,2011-10-16,B,250/500,2000,750.15,0,453713,MALE,College,protective-serv,golf,other-relative,65548,-31847,2015-02-08,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,S7,Springfield,0,3,?,0,2,NO,49146,5964,11918,35273,BMW,X5,2010,0
144826,37,253,2001-06-09,A,250/500,500,1499.02,0,463803,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,36366,0,2015-01-15,Multi-vehicle Collision,Side Collision,Total Loss,Fire,S3,Springfield,17,3,YES,0,3,NO,28889,2850,5713,19976,Audi,A3,2010,0
854781,24,63,1999-12-20,A,250/500,1000,1068.05,0,469324,FEMALE,College,sales,dancing,wife,0,-74272,2014-12-27,Single Vehicle Collision,Side Collision,Major Damage,Other,S1,Arlington,14,1,NO,1,0,YES,49884,6425,6877,40832,Accura,MDX,2005,1
276319,28,72,2003-11-07,B,250/500,1000,1340.92,0,634448,MALE,High School,machine-op-inspct,yachting,husband,64915,-57915,2015-01-14,Multi-vehicle Collision,Side Collision,Minor Damage,Police,S3,Arlington,14,4,NO,1,0,YES,33168,3555,3527,24122,Toyota,Camry,2006,0
358075,33,153,2009-10-05,A,100/300,2000,596.74,0,420115,MALE,College,other-service,reading,other-relative,0,-51827,2015-01-31,Multi-vehicle Collision,Front Collision,Major Damage,Other,S4,Columbus,14,3,?,1,2,NO,48310,10535,5273,35631,Mercedes,E400,2013,1
884017,46,286,2008-07-30,C,250/500,1000,1343.17,0,491838,MALE,High School,exec-managerial,bungie-jumping,other-relative,0,-63303,2015-01-21,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,S3,Northbend,20,3,YES,1,3,YES,53464,6464,11918,35755,Audi,A5,2002,0
358735,30,117,2002-08-15,A,500/1000,1000,1173.53,0,501445,FEMALE,Masters,prof-specialty,sleeping,not-in-family,49464,-61553,2014-12-29,Single Vehicle Collision,Front Collision,Major Damage,Fire,S2,Arlington,3,1,YES,2,0,NO,112863,10800,20738,73868,Dodge,Neon,1997,1
216193,29,102,1994-09-11,A,500/1000,500,942.29,0,644995,MALE,Associate,prof-specialty,base-jumping,other-relative,70297,0,2015-02-01,Parked Car,?,Minor Damage,Police,S7,Columbus,5,1,NO,2,3,NO,7415,770,1551,4943,Accura,MDX,2005,0
763055,32,145,1997-01-27,C,250/500,500,1019.05,6000000,483683,FEMALE,PhD,prof-specialty,exercise,own-child,50031,0,2015-01-28,Single Vehicle Collision,Front Collision,Major Damage,Other,S1,Northbrook,4,1,?,0,0,?,65100,8402,0,61381,Toyota,Corolla,2013,1
623648,39,11,1993-06-16,B,250/500,2000,1518.57,0,417005,MALE,PhD,other-service,yachting,husband,56600,-45067,2015-01-16,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,S3,Riverwood,22,1,YES,0,1,NO,65461,7397,7551,51886,Saab,93,2007,0
629861,61,498,2004-08-17,B,500/1000,500,1232.81,0,630268,FEMALE,Masters,handlers-cleaners,paintball,wife,0,-60095,2015-02-08,Single Vehicle Collision,Front Collision,Major Damage,Fire,S2,Columbus,23,1,YES,0,2,?,63963,9870,10018,44683,Mercedes,E400,1998,0
823573,27,78,1992-08-28,C,250/500,1000,1169.07,0,605902,MALE,High School,handlers-cleaners,board-games,not-in-family,57494,-91001,2015-02-18,Multi-vehicle Collision,Front Collision,Minor Damage,Police,S2,Northbrook,23,3,NO,0,2,YES,78287,6305,12703,62056,Volkswagen,Passat,2003,0
940445,31,77,2007-04-12,A,500/1000,500,1520.38,5000000,422429,FEMALE,Associate,priv-house-serv,movies,not-in-family,39261,-44000,2015-01-09,Vehicle Theft,?,Minor Damage,Police,S3,Northbrook,7,1,NO,2,1,NO,7700,1388,731,5869,Mercedes,E400,1995,0
524879,34,170,1989-12-25,C,100/300,500,1216.9,0,490058,FEMALE,Associate,other-service,polo,husband,36288,0,2015-02-10,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,S5,Northbend,11,3,YES,1,1,?,74719,0,14566,65992,Honda,Civic,2014,0
343404,32,130,2007-10-28,A,500/1000,1000,1173.67,2000000,428583,FEMALE,JD,priv-house-serv,sleeping,own-child,38168,-75088,2015-01-02,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,S3,Northbrook,21,1,YES,1,2,?,54809,6851,7067,42285,Suburu,Legacy,2009,0
747664,27,68,2004-07-29,C,250/500,1000,1025.93,4000000,449423,FEMALE,Masters,adm-clerical,video-games,own-child,44942,0,2014-12-22,Vehicle Theft,?,Trivial Damage,Police,S3,Columbus,19,1,NO,2,3,?,4593,0,528,3799,Toyota,Camry,2000,0
367921,49,323,2003-01-20,B,500/1000,1000,948.12,0,435432,FEMALE,High School,sales,yachting,husband,0,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,S1,Hillsdale,19,1,YES,0,0,NO,48716,8598,8812,32749,Chevrolet,Silverado,1995,0
733174,34,206,1996-08-31,B,100/300,500,1065.72,0,462533,FEMALE,JD,prof-specialty,paintball,not-in-family,0,0,2015-01-07,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,S3,Northbend,1,1,YES,1,1,?,40026,7328,6951,28251,BMW,X5,2011,0
441377,40,221,2005-12-12,B,500/1000,2000,849.77,0,427434,FEMALE,Associate,machine-op-inspct,skydiving,own-child,47260,0,2015-02-22,Multi-vehicle Collision,Side Collision,Total Loss,Police,S2,Arlington,15,3,?,1,2,?,38445,0,4540,32911,Accura,RSX,1996,0
915023,39,260,1995-11-17,B,100/300,1000,1310.47,0,418937,FEMALE,Associate,other-service,camping,wife,72908,0,2015-02-19,Parked Car,?,Minor Damage,None,S1,Hillsdale,6,1,NO,0,0,NO,3086,546,269,2269,Audi,A3,2012,0
408278,39,278,2007-02-12,C,250/500,1000,1581.86,0,589629,MALE,JD,machine-op-inspct,camping,other-relative,0,-55682,2015-01-04,Multi-vehicle Collision,Rear Collision,Total Loss,Other,S3,Riverwood,15,3,YES,1,1,NO,80623,16750,8832,58390,Chevrolet,Malibu,2007,0
719148,29,37,2003-01-28,B,250/500,2000,1416.1,0,440949,FEMALE,High School,handlers-cleaners,polo,husband,0,-16390,2015-01-18,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,S5,Northbend,14,3,?,1,0,NO,53016,10255,10497,31556,BMW,X6,2014,1
762557,41,237,1991-11-18,C,100/300,1000,1487.45,0,450579,MALE,JD,transport-moving,sleeping,own-child,0,0,2015-03-01,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,S1,Springfield,19,3,?,2,0,?,53464,4278,4503,42387,Audi,A3,2006,0
323923,37,227,1997-05-03,B,250/500,2000,1261.81,0,468424,FEMALE,MD,craft-repair,paintball,not-in-family,67830,0,2015-01-10,Multi-vehicle Collision,Side Collision,Major Damage,Other,S3,Columbus,14,3,YES,1,1,YES,70960,11906,5747,51776,Ford,Fusion,1995,0
283357,41,276,1998-07-25,B,500/1000,1000,742.28,0,452086,MALE,Associate,prof-specialty,movies,own-child,12838,-51141,2015-02-16,Single Vehicle Collision,Side Collision,Total Loss,Police,S2,Northbrook,12,1,YES,1,3,YES,72600,7586,7618,56301,Jeep,Grand Cherokee,2005,0
304081,32,105,2002-04-08,A,100/300,500,1177.51,4000000,423052,MALE,Associate,machine-op-inspct,yachting,other-relative,82182,0,2015-03-26,Vehicle Theft,?,Trivial Damage,Police,S2,Arlington,8,1,?,1,3,NO,3779,797,399,2806,Ford,F150,2010,0
378562,54,375,1999-04-04,B,250/500,500,1423.61,0,601915,FEMALE,High School,craft-repair,movies,own-child,51500,0,2015-02-01,Vehicle Theft,?,Trivial Damage,Police,S5,Hillsdale,9,1,NO,1,0,NO,7000,1081,1066,4817,Audi,A5,1999,0
537941,40,240,2013-09-12,B,250/500,1000,1591.34,0,597144,FEMALE,MD,armed-forces,cross-fit,own-child,0,0,2015-01-22,Single Vehicle Collision,Front Collision,Major Damage,Fire,S2,Riverwood,16,1,?,0,0,YES,52055,5339,5350,43270,Saab,92x,2015,0
409814,25,32,2014-11-11,A,100/300,2000,1203.6,6000000,446015,MALE,JD,other-service,polo,not-in-family,0,-81396,2015-02-14,Single Vehicle Collision,Side Collision,Total Loss,Fire,S4,Northbrook,16,1,?,1,2,?,44635,8781,4481,33315,Toyota,Corolla,2009,0
137670,46,277,1999-07-05,C,500/1000,2000,1149.47,7000000,465600,FEMALE,MD,farming-fishing,dancing,not-in-family,0,-52650,2014-12-21,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,S2,Northbrook,12,1,?,2,0,?,76126,11466,11700,50438,Chevrolet,Silverado,1997,0
754596,27,101,2014-08-06,A,250/500,500,1379.5,0,594768,MALE,PhD,armed-forces,dancing,own-child,30360,-52099,2015-01-30,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,S2,Arlington,0,3,?,2,1,?,68957,12721,11633,41743,BMW,X6,1996,0
897453,38,242,1992-11-13,A,250/500,1000,811.06,0,590543,FEMALE,College,other-service,paintball,not-in-family,0,-62187,2015-02-06,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,S3,Northbrook,16,1,NO,0,1,?,68243,16275,5809,45629,Mercedes,E400,2014,0
828542,54,424,1998-11-25,A,250/500,1000,1163.98,6000000,451507,MALE,Associate,machine-op-inspct,skydiving,own-child,70635,-42486,2015-02-09,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,S3,Springfield,0,1,YES,2,0,YES,39835,6362,6257,25635,Suburu,Forrestor,2002,0
