商品id,未来一周天均销量
【小伍专享】云食间 龙岩红衣花生香酥花生休闲零食坚果炒货158g,0
俄罗斯进口巧克力糖果Slavyanka奶罐夹心榛仁结婚喜糖500克包邮,0
嘴巴香辣条亲嘴片大包+小包+小羊排（共400g）,0
中国梦尊享版52度白酒高级礼盒装生态蓝500ml*2,0
【年货专享】豆乳威化饼干128g×4袋网红健康休闲零食|A4|,0
10袋起拍-重庆佳仙老火锅底料50g独立小包装麻辣烫火锅底料,0
【郝劭文专享】妙可蓝多奶酪棒500g*2=到手50支 小超市特惠价,0
林家铺子冰糖黄桃200g*3罐 儿童水果罐头,0
特辣-重庆特色佳仙老火锅底料50g手工全型麻辣烫懒人小袋串串香,0
逗海哧310gx5包柳州螺蛳粉正宗广西柳州螺蛳粉,0
【官】卜珂零点 速溶松露形黑巧克力碗装精美礼盒装网红零食408g,0
【资养颜】五黑糕150g,0
【怡宝补贴价】怡宝纯净水4.5L*4桶/箱 家庭装 泡茶煲汤-newZB2,0
【柚子专属】一条狗烧麦 540g*4 三丁+蛋黄+梅干菜/腊肠 送馄饨,0
思乡山网红辣条125g*4包香辣片魔鬼辣丝麻辣棒爆辣零食湖南特产,0
【抢跑年货节】经典28℃松露型速溶巧克力80g*3盒,0
冠生园大白兔奶糖许鲜森花生牛轧糖拼盘300克礼盒装,0
【苛选推荐】中粮长城 2022年壬寅虎年限量版750ml*6瓶 整箱装,0
【疆果东送】漠上果园新疆源头产地直供手剥纸皮核桃205g/包,0
明星句号代言川天娃卤肉料包  15g×10包拍一发三,0
【年货专享】有零有食冻干榴莲干58g×3袋健康零食榴莲脆|G3|,0
比利时Cupido松露巧克力175g,0
禧小饮糖纳红豆20g 免煮即食小包装熟红豆蜜豆烘焙珍珠奶茶店原料,0
咔咔拌麻辣拌免煮速食干拌麻辣烫即食宿舍夜宵网红懒人非自热3碗,0
【爆款】良品铺子手撕面包 1000g/箱  J,0
锐澳RIO强爽苹果西打330ml*1+水蜜桃330ml*1限购1件,0
【1小时锁鲜】灶小美内蒙古糯玉米非转基因黏玉米12支礼盒装2500g,0
【勺子姐专享】新竹米粉玉米制作细米粉干炒粉广东炒米粉3斤,0
码头夫人  熟食大鱿鱼   即食海鲜400g/包,0
荃优美食杂粮混搭年糕块500g,0
小鹏食品老式大辣片8090后儿时休闲零食网红辣条豆皮吃货小吃68g,0
酸奶巴旦木250g酸奶大礼包山楂球奶片奶醇固体酸奶,0
HADAY/海天【小影推荐】海天味极鲜酱油1.28L/瓶,0
碧根果新货大颗粒奶油味净重500g250g孕妇办公室坚果干果零食5斤,0
开袋即食 小石头大鸭翅 独立真空包装22克/包,0
十吉重庆老火锅底料50g小包装一人份牛油麻辣香锅麻辣烫冒菜调料,0
果汁QQ糖一罐500g拍一发二  不挑款20款,0
秋淘新货大颗粒夏威夷果奶油味250克袋装孕妇零食坚果,0
【奈思专属 】 新升级益生元乳酸菌味饮品胃动力0脂肪340ml*12瓶,0
【知味观】杭州特产新春八宝饭300g血糯八宝饭300g方便速食,0
奇亚籽坚果藕粉500g/罐,0
芒果干500g250g袋装水果干蜜饯果脯整片网红小吃儿童休闲零食,0
53°汾酒杏花村玻瓶475ml（升级版）*2,0
【新人专享】 开心果特大颗粒本色原香500克/250克罐装袋装,0
柏慧豆皮肉卷180g*5袋即食五香干豆腐卷肉豆皮鸡肉卷肉签千张卷肉,0
网红零食 有馍有样 鸡蛋馍丁 300克/箱13包,0
趣悠悠莱阳秋梨膏棒棒糖袋装15支90克（联）,0
【刘媛媛生日专享】六个核桃 虎年贺岁罐  精品型240ml*16  ,0
【解压零食铺zz】德芙巧克力丝滑一刻得福一生圆筒4.5g*15粒,0
【HN圣宝萌】爆款国产紫皮糖200g*4包夹心巧克力糖果年货XS,0
[北京顺丰] 【2箱】特仑苏纯牛奶利乐钻250ml×16包,0
【山药南瓜酥】酥脆可口 非油炸 好吃又健康 老少皆宜 1500g,0
【龙姐专属】雨子坊阿胶固元糕200g（约20块）*3盒,0
【5袋69元包邮】正宗山东酱香卷肘  下酒又下饭  老人小孩都爱吃,0
五常长粒香米10斤 拍一发二到手20斤东北大米 真空包装 新米现磨,0
【福利专属】伊利全家系列全脂甜奶粉400g 新老包装随机,0
豫道食品 甄选纯红薯粉 黑金版酸辣粉135g*6桶装/箱 冲泡即食,0
华夏百分变态超辣鬼椒面6桶整箱装,0
江巢羽衣甘蓝粉食蔬粉36g/盒 B1,0
【新上市】纸皮巴旦木 超好剥袋装净重250g500g1000g,0
拉丝花生夹心巧克力约80个坚果休闲零食,0
燕之坊 七日粥早餐杂粮粥100g*9袋&腊八粥【发货快】 ,0
【老爹年货推荐】东北粘糯玉米10支 大于200克约长14cm/支 ,0
比比赞爆浆芒果味软糖500g袋装【约45个】,0
 宅猫日记 岩烧芝士脆饼干日式网红薄脆咸甜味118g*5,0
泓一北海道风味牛乳味夹心威化饼干整箱240g休闲零食年货点心 Y7,0
舟山即食海鲜原味鱿鱼条50g手撕鱿鱼条,0
六婆蘸料2g*20小包装干碟辣椒面烧烤火锅串串外卖蘸料烤卤肉料,0
【新食神】番茄牛骨味浓汤底（4袋/包）,0
【海福盛】猛料升级冻干粥4口味8杯组合装,0
【柚子专属】巴扎寻味开口杏核 五香味 100g*5包,0
正宗老上海风味葱油饼家庭装20片90g葱油饼手抓饼早餐煎饼批发,0
粉丝福利  武汉热干面9包（送9袋酸豆角）,0
【拍一发三】奇亚籽坚果藕粉羹 饱腹充饥 营养代餐 500g,0
【工厂福利】开袋即食 小石头大鸭翅 独立真空包装22克/包,0
【年底大促】 阿胶驴肉  开袋即食 200g/袋 新老包装随机发,0
【粉丝福利】HXQ韩小欠爆米花玉米粒三合一200g拍一发三,0
【刘媛媛生日专享】盐津铺子210g辣卤礼包（20小包有肉有蛋）  FL,0
【乌啦啦专享】九日牌果肉果汁饮料葡萄味238ml*10罐,0
推荐_【三只松鼠_坚果大礼包/欢悦款/2831g】MJ,0
【翻天娃】9.9元3包爆辣通心棒辣条魔鬼辣网红儿时怀旧面筋68g/包,0
【福利优选】巧遇心松露巧克力80g/盒（拍1发3）,0
【年货囤好货】推荐_【三只松鼠_定制年货坚果肉食大礼包/2122g】,0
「少帅粉丝浮力」13包 三角妙角脆休闲零食,0
新货东北松子特大颗粒开口红松子坚果休闲零食大罐装净含量500g,0
盐焗粉30g 叫花鸡窑鸡广东客家风味家庭翅鸡爪手撕盐焗大虾海鲜,0
【直播】薄壳原味巴旦木250g坚果扁桃仁杏仁孕妇零食散装干果整箱,0
【热度】「9.9送网红冰川杯」20条/盒黑咖啡0添加蔗糖2克*20包/盒,0
【燕壹壹】豉汁王调味酱（每一袋60g）,0
 6袋9.9包邮口味升级装鸡精调料品土鸡鲜精独立包装100克,0
【80包仅9.9】美国青豆青豌豆年货节零食休闲零食炒货小吃整箱,0
【A】带衣腰果紫皮500克装/250克装紫皮腰果袋装,0
【郝劭文专享】诺梵松露形巧克力福虎迎春限定礼盒500g,0
士力架牛奶花生夹心巧克力460*1桶,0
【好照头黄金渔翅】23g湖南特产，香辣可口，网红特色小零食,0
薄荷清凉奶糖288g冰凉清爽薄荷因子奶片怀旧童年回忆小零食富田,0
披荆斩棘的哥哥同款【良品铺子】高蛋白肉脯500g,0
【直播限定】火山石烤肠台湾烤肠纯地道肉肠脆皮肠热狗烤肠3盒,0
【拍一发六】丹麦风味曲奇饼干56g/盒,0
恋上谷奇亚籽坚果藕粉羹500g/桶,0
10袋起拍-重庆特色佳仙老火锅底料50g手工全型麻辣烫底料懒人微辣,0
琥珀核桃仁新货熟核桃仁净重500g250g孕妇办公室坚果干果零食5斤,0
【高品质】芒果干 大片厚切 鲜果制作 250g,0
【dd】带衣腰果紫皮500克装/250克装紫皮腰果袋装,0
【甘源官方】甘源坚果无壳核桃仁腰果豆果瓜子仁青豌豆18包组合装,0
其妙口口有料燕麦酥整箱200g约50颗燕麦巧克力涂层,0
【粉丝专享】【9.9元30包素肉】创奇手撕素肉麻辣豆干30-90包,0
【天花板级别2包补贴24】黑娃古法瓜子300g内蒙古363天花板级别,0
【依宿山】酸枣仁百合茶60g A,0
旺旺巨型大礼包2.8kg 网红零食袋旺旺大礼包休闲零食组合送女友,0
宾格瑞韩国香蕉草莓哈密瓜香草味牛奶饮料200ml*24盒多口味混合装,0
【新货】 夏威夷果 奶油味袋装净重250g500g1000g,0
/莫斯森林俄罗斯风味大列巴面包500g/4个,0
孔府膳香酥手工煎饼（黑米+五香花生）两盒500克,0
【粉丝福利】熙景源0蔗糖牛乳沙琪玛400g牛乳味早餐糕点追剧点心,0
【新品】霸蛮爆炒酱100g/袋（内含2包）调味料家常菜炒菜调味,0
【年终大促】妙可高钙奶酪棒工厂直发20g*3只 拍一发4包共计12根 ,0
洪崖洞重庆牛油火锅底料150g*3袋，微辣。,0
八千步高蛋白金丝肉卷即食低热卡代餐零食解馋健康鲜辣蔬肉75g/包,0
美丽家高粱饴：软糖 童年记忆 拉丝多口味饴糖 500g/包,0
【刘媛媛生日专享】西麦虎年好运满满燕麦礼盒-3066g,0
富菓乐炸小酥肉专用粉100g家用香酥 裹粉 脆皮浆粉能炸肉炸鱼,0
宅猫日记 岩烧芝士脆饼干日式网红薄脆118g*5,0
【非遗】十吉重庆老火锅底料50g小包装一人份牛油麻辣火锅调料,0
猫影【小影推荐】多口味高粱饴500g/包,0
泓一蔓越莓雪花酥零食小吃年货休闲食品牛轧糕点饼干400g约33枚,0
【川哥专属1】39度 五粮液集团黄金酒 万福 240ml/瓶,0
【主播力荐】回味一梦风干手撕长鸭脖53g整根氮气锁鲜网红小吃,0
何氏爱民柳州螺蛳粉正宗方便速食袋装280g*5袋*1箱广西方便电煮锅,0
【董新尧粉丝专享】肉松夹心海苔卷200g整箱约35根 即食休闲零食,0
 玉米自发粉900g家用包子馒头花卷杂粮粉高筋面粉玉米粉,0
原色无漂白特大颗粒开心果500g250g原味坚果干果零食5斤批发,0
【直播宠粉浮力】火郎重庆牛油老火锅底料50g/袋一人份家用火锅,0
【年货必囤】大餐伴侣-白芸豆黑咖啡正品保障男女通用10包☆2,0
广西藤县老树大红八角大料大茴香无硫熏卤料香料100/250/500克,0
【刘媛媛生日专享】诺梵虎年限定松露巧克力四口味500g礼盒装,0
【小贝专享】我的天呐 爆款麻辣关东煮网红爆肚粉组合到手6桶,0
云岭村手工制作蒲草酱香干子 300g*2袋,0
【米兜妈妈专享】 金燕耳高山本草有机银耳70g  老人小孩都能吃,0
【直播】享食者奶油味碧根果250g干果长寿坚果一整箱孕妇零食礼包,0
A1:雨润牛肉粒{香辣味}{沙嗲味}50g,0
FUJIABAO/福嘉堡【酒仙网专属】精酿德式风味11°P小麦白啤1L罐装,0
川渝特产  莫可比麻辣萝卜干238g盒装 指定地区包邮,0
暴肌独角兽 0脂黑咖啡 3秒速溶冷热口感醇厚双泡独立装2g*10支,0
腊八蒜 绿蒜 糖蒜 醋泡大蒜 770g一瓶 爽脆可口,0
山西杏花 红高粱 53度清香型白酒 475ml*1,0
【福利】焦糖饼干/一箱22包44片比利时风味休闲零食,0
良品宜刻良品宜刻辣白菜韩式咸菜腌制下饭菜美味酸辣家庭泡菜500g,0
徐老板虎皮鸡爪108克+小鸭爪65克+鸭翅70克+小香薯200克,0
【官方直播】RIO/锐澳预调酒果酒洋酒微醺X清爽330ml*28罐,0
九岭夼大黄米汤圆多种口味420克元宵汤圆花生网红汤圆馅料黑芝麻,0
传统手工麦芽糖1斤、2斤装【现做现发】新,0
德芙丝滑牛奶巧克力4.5g喜糖12粒装（赠汉堡盒）,0
菁荷桂花坚果藕粉羹奇亚籽坚果藕粉羹500g,0
壹堂麻手工麻枣芝麻筒雪枣大京果芋头酥芙蓉果蓼花糖250g,0
升泉古法瓜子300g*4袋多味瓜子香炒货休闲网红零食大颗粒脱皮瓜子,0
阿帆武汉风味热干面独立包装170g碱水面（含料包）,0
金沙河自发粉【无任何添加】2斤/4斤 馒头包子无需加酵母面粉,0
小熊驾到 新奥尔良烤鸡翅蜜汁微辣香辣腌料3罐装组合,0
五粮液一尊天下+杜康(龙马)+杜康A99+贵州王子 组合 共12支,0
【顺丰冷链】叮叮懒人菜老坛酸菜鱼450g*3袋  国产黑鱼 半成品菜 ,0
60包 花生夹心巧克力能力棒 牛轧糖 休闲零食喜糖年货整箱,0
粗粮玉米面条*11袋（每袋250克）,0
【送冰川杯】白芸豆黑咖啡20克（2克×10包）,0
小包装火锅底料50g/袋装小方块重庆火锅底料麻辣烫串串冒菜调味料,0
【优选】五常长粒香米10斤 新米 东北农家大米 长粒香 五常发货,0
肖叔叔螺蛳粉柳州正宗螺狮粉广西特产螺丝粉330g*5袋方便速食米线,0
【官方】味滋源休闲零食坚果饼干膨化礼盒10包1280g送礼,0
【粉丝福利】贵州酱酒53度礼盒装500毫升单瓶【拍2赠礼袋】,0
【年货专享】有零有食冻干草莓38g健康即食脆休闲零食草莓脆|F1|,0
【达人新年限定款优选】渣渣灰南昌拌粉经典原味195g*3/6盒装D,0
山西陈醋 （亮匠原浆醋） 纯粮食0添加2.5L 【拍一发二】小张雷,0
【好想你_年货红枣礼盒1876g/8袋】枣夹核桃坚果大礼包 花开富贵,0
【推荐】广式薄皮菌菇咸口烧麦每袋500g,0
【工厂直销】新货新疆阿克苏185纸皮核桃1/2/5斤,0
秋水良田五常稻花香5斤真空包装/源头工厂/五常直邮,0
【8袋云南菌菇】云南营养七彩菌菇包菌类煲汤食材62g/过年送爸妈,0
【口味组合装】时刻陪你纯牛奶营养早餐手撕面包200g/包,0
2018年冰岛龙珠 普洱茶（生茶）8g/颗<yfx>,0
【大博奶奶联名款】麻酱米线（水煮型） 南阳特色细米线 210g/袋,0
【西安咸阳专享】陕西凉皮岐山擀面皮300g*8袋送2瓶油泼辣子,0
【挑战逆天苦】口口有料 其妙纯黑巧克力100%纯可可脂120g共24片,0
大家乐大黄米汤圆300g（纯花生、纯芝麻）网红速冻元宵,0
味怡康海南白胡椒粉家用炒菜调料500g送100g包邮复合调味料,0
德芙巧克力礼盒新年礼物送女友生日高档实用礼品95.4g,0
卫龙魔芋爽约15g素毛肚辣条超市同款香辣麻辣休闲零食素肉,0
【刘媛媛生日专享】金鹤生态长粒王东北大米真空包邮5kg*2袋,0
【主播粉丝专享】七螺珠螺蛳粉300g*3袋柳州特产螺丝粉方便速食,0
【买一送一】桃李 果子面包240g*1袋 营养早餐休闲零食下午茶,0
【小杨哥专属】枇杷秋梨膏冰糖雪梨枇杷膏儿童宝宝成人130g/支,0
螺千味305g*8广西柳州螺蛳粉袋装速食螺狮粉-LD,0
【3箱】伊利 安慕希希腊风味酸奶原味205g*12盒 ,0
【音爆补贴】德芙礼盒588g-年年得福,0
网红手剥笋500g香辣笋尖泡椒脆笋手撕笋即食手剥笋,0
【9.9发20包】拍两份发50包  山药南瓜千层酥,0
【陳粮號】小户赛古树龙珠  普洱茶（生茶）紧压茶  160g（8g*20),0
【炮炮唐专属】鱿鱼爱上虾 虾条+鱿鱼酥 30g*8袋 膨化食品,0
【良品铺子】良品谢礼-欢聚坚果礼2038g,0
（拉飞哥推荐）52°白水杜康金元宝酒125ml,0
延边特色烧烤串料蘸料撒料（原味、香辣、特辣）8包9.9【包邮】,0
【小贝专享】食族人酸辣粉3桶+火辣爆肚粉3桶多规格可选,0
【新货】带皮腰果仁500g散装称斤原味盐焗紫皮腰果越南特产坚果,0
【颗粒】奇亚籽坚果藕粉羹500克/罐两罐送杯勺,0
【拍两份发70根】花生酱夹心小芝麻棒代餐30根/一箱,0
【洽洽】瓜子大礼包组合装11包892gTZ-LDB,0
郎酒 国藏郎精品升级版 52度 500ml 浓香型 高度白酒,0
【热度】淘味熊奶盖沙琪玛380g/盒*2（杏仁/水果/棉花）,0
滇茶-冰岛龙珠熟茶8克,0
诺梵年货大礼包松露型巧克力礼盒装送礼物品圣诞零食（代可可脂）,0
品贡香猫牙米5KG/十斤/包 2021年现磨新米优质长粒米,0
【爆款】玫瑰芝麻枣夹核桃仁380g新疆红枣夹心核桃仁独立小包装,0
【9.9元22包】巧玲珑鲜虾饼整箱22包雪饼米饼168克/箱,0
【音爆补贴】年货士力架德芙大白兔糖果1箱,0
天勤粒粒净新大白糯 个头升级甜糯升级 尝鲜装8条,0
【软糯香甜】大黄米汤圆 冷冻水煮元宵400g/袋  黑芝麻花生馅汤圆,0
广式特色腊味蛋黄凤凰盏250g一盒,0
第二件1元！【橙子快跑】200g花生酱颗粒麻酱抹面包,0
【直播推荐】青岛啤酒 白啤11度 焕新包装 500ml*12听,0
老唐推荐：龙须菜 250g/袋（拍4袋送3袋共7袋）,0
沙拉海藻口味酸甜爽脆口 开袋即食裙带凉菜180g,0
水果味软糖 混合橡皮糖 QQ软糖散装500g/1000g,0
【三种口味】酸辣/蒜香/香辣柠檬网红无骨鸡爪即食零食200g/500g,0
【董哥粉丝专享】康师傅无糖冰红茶饮料330ml*6瓶,0
【柒哥专属】沂蒙公社山楂条100g/袋,0
100g可嚼咖啡糖即食咖啡豆上课工作常备网红咖啡零食【嘉思贝】,0
湖南风干五香麻辣香肠1斤装,0
【郑老师专享】贵州王子酒 酱香型53度 460ml*买一送一共2瓶,0
【21年新米】五常大米稻花香2号10斤真空装五常产地直发现磨现发,0
幸福收纳者铁桶礼盒 七种口味集结1077g ZY3,0
【洽洽】洽洽经典喀吱脆组合35g*10条-DY,0
冬日独立真空包装农家手工红糖糯米糍粑 1斤3斤5斤驴打滚湖南特产,0
【陈三废专属】精武全荤礼盒1540g 卤味年货零食大礼包,0
海南特产休闲食品 文昌 锦山亚妹牛肉干39克 五香味 香辣味,0
【直播】味滋源年味坚果零食大礼盒12包1290g,0
【垮哥】烤鳕鱼片营养零食肉质细腻厂家直发烤鱼片 45g/袋*4,0
推荐_【三只松鼠_坚果大礼包/欢悦款/2831g】C4,0
顺丰空运包邮 榴莲千层800g纯动物奶油8层金枕榴莲果肉400g,0
熙贝 银坑村开心果特大颗粒 本色原香袋装250克/500克2.5kg,0
聚广德  红糖姜茶桂圆红枣枸杞黑糖姜茶 180g/盒,0
临安粳米水磨年糕独立真空包装 2斤/5斤,0
特大颗粒带皮大腰果仁500g250g新货盐焗散装坚果干果零食干货5斤,0
【活动专属】0碳水高蛋白午餐肉罐头煎炒涮火锅198g,0
百鲜生膳食肠烤肠2袋/4袋原味肉肠地道肠,0
包青风鲜汁肉包大包子80g×6粒营养早餐,0
邕桂妃多彩芋圆200g/袋*4袋大小组合成品甜品鲜圆烧仙草自制原料,0
【10包仅需49元】东北特产纯玉米面条 劲道爽滑 营养丰富 ,0
老坛酸菜鱼450g*6包【叮叮懒人菜】半成品菜美味方便菜,0
【官方】雀巢怡跃安骼高蛋白高钙高铁脱脂女生营养奶粉350g*2盒,0
费列罗金球榛果夹心巧克力T30颗婚庆礼盒休闲零食年货送女友礼物,0
【8包仅69.9元】腾达铁棍山药刀削面 营养辅食 劲道爽滑 450g/包,0
重庆良厨发酵型底料50g独立包装一人食小火锅炒菜调料,0
泡沫箱肠粉200g（送灵魂汤汁配菜）6份起拍,0
【主播浮力】无骨鸡爪  500克/1斤 川味香辣/酸辣/蒜蓉 200克=1盒,0
八千步鸡胸肉肠即食鸡肉肠健身低脂卡代餐零食品解馋包邮  60g/根,0
【满小饱爆款】 3袋装 香港肥汁米线九级酸辣米粉 310g/包,0
黑糖坚果沙琪玛15枚装好吃整箱,0
【凯福】怪味胡豆100g/袋  重庆特产小吃怪味蚕豆  指定地区包邮,0
太妃糖巧克力味爆浆夹心太妃糖袋装糖果250克,0
【美食时代专属】五福超满足精选早餐组合1700g,0
低卡博士 小花袄1.0 挺好吃的鲜椒牛肉酱一瓶220克 开盖后需冷藏,0
（浮力）俄罗斯风味大列巴面包500gx4个,0
(燕子)农家前腿腊肉1斤到10斤腊味现称恩施特产E,0
【游三推荐】JIAO PO/ 焦陂大曲浓香型白酒 52度 450ml*6瓶,0
【董妈妈推荐】醋粉陕西发酵凉皮6袋*270g蒜香味/麻酱/麻辣,0
【吃欢天】兰州牛肉面 93g*12桶 非油炸 面呷面兰州拉面,0
待见【沙棘汁饮料8瓶】家庭装 酸甜可口 高VC果汁,0
年糕大叔韩式部队火锅套餐韩国部队锅芝士年糕福袋食材组合1075g,0
蟹小果 无骨鸡爪 （酸辣 、川味）即食罐装  去骨凤爪 500g /罐,0
新货手剥巴西松子500g散装大颗粒松子非特级特大孕妇零食干果零食,0
颂优乳 低糖全豆原味豆乳 200ml*6盒/200ml*10盒  礼盒装,0
俄罗斯混合糖果巧克力糖果500克/袋,0
卢小开 | 东北土豆粉条2.5kg/袋,0
【宠粉款】大号葡式蛋挞皮30个+ 蛋挞液500g 【欣乐】家庭烘培,0
【娘炊烟】9.9元/2包60g 简单做家庭版叫花鸡窑鸡,0
蜀中桃子姐钵钵鸡调料包320克冷锅串串香底料包,0
H2：口水娃素大刀肉288g,0
正宗东北切糕大黄米糯米年糕粘糕特产280g*5袋即食手工传统整块,0
奥尔良小鸡腿 小石头鸡翅根 独立真空包装 开袋即食5包/10包/20包,0
[年货福利礼盒装]黄老五花生酥米花酥812g四川特产传统零食,0
巴旦木大杏仁坚果扁桃仁装薄壳原味手剥散装干货500g零食,0
新货夏威夷果奶油味250g/500g袋装炒货休闲小吃孕妇零食干果坚果,0
兴霸武汉热干面独立包装180g*5包碱水面（带调料）,0
【天海藏】6盒装金汤佛跳墙240g/盒（升级）,0
盐津铺子210g休闲零食辣卤礼包（20小包 有肉有蛋）【蜂雷心选】,0
趣悠悠乳酸菌无糖棒棒糖24支袋装三口味(144克)/草莓味8支(56克),0
【好物推荐】窝小芽黑芝麻牛油果油亚麻籽油核桃油50ml*3,0
加加减盐金标1.25L+料酒1.25L+老抽+凉拌生抽+蚝油+醋加赠共11件,0
老灶煮老灶煮老灶煮卤煮入味带壳花生72g*5袋起休闲零小吃下酒菜,0
正宗四川特产农家烟熏腊鸭一只装,0
【好物推荐】经典28℃松露型速溶巧克力80g/盒（拍1发6）,0
【开小差】千万两零食大礼包内含20包,0
【年货好礼】傣乡园云南玫瑰鲜花饼早餐糕点礼盒装饼30g*10枚/盒,0
【修蜜严选6】修蜜桂花坚果藕粉羹果干总含量43%500g/罐厂家直发,0
【郝老师专享】百威哈尔滨醇爽330ML*24听（2箱）（分开发货）,0
爆款代可可脂果仁夹心巧克力紫皮糖200g /包拍一发四,0
品音棒棒糖《一生有你》爱心棒棒糖18g/支 心意告白糖果礼品,0
【麻辣传奇】农家天然自制烧椒酱 鲜辣呛香焦香油润 地道川味280g,0
【小杨哥专属】32枚蛋黄酥实惠分享装 C,0
天海藏原味烤肠*2袋+黑胡椒烤肠*2袋,0
汇源果汁100%臻贵礼盒1L*5盒【口味随机】（送420ml95°黑6瓶）,0
料百年【9.9元20包】五香卤料包卤肉卤菜调味料包15g/包可卤4-5斤,0
【主播专属】红糖姜枣茶 桂圆红枣枸杞茶玫瑰花姜片  150克/盒,0
新博明雪莓娘预拌粉雪媚娘皮原料免蒸版250g/1kg,0
【宸泽专享】元气简餐冻干酸奶块多口味组合装45g袋装,0
【主播专享】小7婶 螺蛳粉335g*5袋装整箱袋装正宗广西柳州特产,0
【醋小妹】山西特产6度老陈醋十年陈酿无添加纯手工醋5斤拍一发二,0
杰顿脆脆筒巧克力味夹心冰淇淋造型网红零食小吃188克（10支）,0
开袋即食 卤味鸭肫 小石头鸭胗独立真空包装到手两大包约18个左右,0
【SH】Danisa皇冠丹麦曲奇饼干75g盒曲奇饼干,0
先小鲜盐焗海鲜（粗海盐+香料+海鲜蘸料）调味料1082克，非盐焗粉,0
蜀中桃子姐钵钵鸡调味料320g复合口味底料包冷锅串串香,0
碧根果 奶香口味大颗粒袋装净重250g500g1000g,0
【名沙新品】草莓味/白桃味坚果沙琪玛156g四盒,0
【乌啦啦专享】日清合味道杯面12杯桶装速食方便面泡面多口味整箱,0
海苔卷 休闲零食500g/箱 混合口味,0
思乡山魔鬼辣网红辣条125g*4包湖南特产变态辣爆辣面筋辣丝小吃,0
L热卖推荐I 丹麦风味奶香曲奇饼干56g/盒(拍一发六）,0
丰帆肉肠地道肠500g*2袋/1袋/4袋台湾风味脆皮肠烤肠,0
耒湘田【微辣 超香】 红辣椒干湖南特产皱皮辣子(干红辣椒)500g,0
酸汤肥牛酱汁120g家用懒人金酸汤酱金汤料理包鱼酸辣调味酱料,0
【达人专属】【3箱】伊利 安慕希希腊风味酸奶原味205g*12盒 ,0
熘香煲大棒骨酱汁排骨料红烧肉调料秘制配方犟骨头酱汁家用180g,0
高美奇干脆面掌心脆22包-80包整箱 休闲小零食干吃方便面d,0
【拍1发3】三合一球形奶香焦糖爆米花玉米粒 每袋200g,0
清宜 荞麦葱油速食面葱油面 80g/袋 非油炸,0
【求仙岛专属】求仙岛鱿鱼仔带籽即食海鲜零食 2斤 赠10小袋扇贝,0
【橙子快跑】350g乳酪欧包巧克力欧包全麦面包,0
LYFEN/来伊份 新鲜100分零食礼盒 D款2384g   ld,0
【舟乐鲜】现烤安康鱼片50克一包/家庭版,0
燕壹壹豉汁王调味酱（每袋60g）,0
